GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301062,1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,Nick,,,2.000000:17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022301062,1610612766,CHA,Charlotte,1641735,Amari Bailey,Amari,,,2.000000:17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022301063,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,F,,31.000000:17,5.0,10.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,-15.0
0022301063,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,,34.000000:41,6.0,12.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,1.0,9.0,10.0,8.0,0.0,0.0,5.0,1.0,16.0,-13.0
0022301063,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,37.000000:30,9.0,17.0,0.529,0.0,1.0,0.0,6.0,7.0,0.857,4.0,11.0,15.0,3.0,0.0,0.0,3.0,0.0,24.0,-12.0
0022301063,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,36.000000:11,7.0,16.0,0.438,1.0,7.0,0.143,1.0,1.0,1.0,1.0,12.0,13.0,6.0,1.0,0.0,5.0,2.0,16.0,-15.0
0022301063,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,G,,35.000000:03,3.0,14.0,0.214,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,0.0,3.0,6.0,-17.0
0022301063,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,,,13.000000:19,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,-6.0
0022301063,1610612747,LAL,Los Angeles,1627752,Taurean Prince,Taurean,,,14.000000:35,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-4.0
0022301063,1610612747,LAL,Los Angeles,203915,Spencer Dinwiddie,Spencer,,,20.000000:30,1.0,6.0,0.167,1.0,5.0,0.2,2.0,4.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,-6.0
0022301063,1610612747,LAL,Los Angeles,1629637,Jaxson Hayes,Jaxson,,,10.000000:30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-7.0
0022301063,1610612747,LAL,Los Angeles,1630658,Colin Castleton,Colin,,,2.000000:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022301063,1610612747,LAL,Los Angeles,1641721,Maxwell Lewis,Maxwell,,,2.000000:08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
